,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/2749689,"(one to many, one to one, many to one)?","What is the ""owning side"" in an ORM mapping?","What exactly does the owning side mean? What is an explanation with some mapping examples (one to many, one to one, many to one)? The following text is an excerpt from the description of @OneToOne in Java EE 6 documentation. You can see the concept owning side in it. -CODE- .",no
1,https://stackoverflow.com/questions/14534767,How to append a newline to StringBuilder,How to append a newline to StringBuilder,"I have a StringBuilder object, -CODE- . Now I want to append a newline character to the StringBuilder. How can I do it? -CODE- . Does not work. So, I was thinking about writing a newline using Unicode. Will this help? If so, how can I add one?",no
2,https://stackoverflow.com/questions/8017374,How to pass a URI to an intent?,How to pass a URI to an intent?,I'm trying to pass a URI-Object to my Intent in order to use that URI in another activity... How do I pass a URI ? -CODE- . How do I use now this URI in my other activity? -CODE- . Thank you guys.,no
3,https://stackoverflow.com/questions/2429944,How to convert a scala.List to a java.util.List?,How to convert a scala.List to a java.util.List?,How to convert Scala's scala.List into Java's java.util.List?,no
4,https://stackoverflow.com/questions/8819842,Best way to Format a Double value to 2 Decimal places,Best way to Format a Double value to 2 Decimal places," -CODE- . I am dealing with lot of double values in my application, is there is any easy way to handle the formatting of decimal values in Java? Is there any other better way of doing it than : -CODE- . What i want to do basically is format double values like : -CODE- .",yes
5,https://stackoverflow.com/questions/1026761,How to convert a byte array to its numeric value (Java)?,How to convert a byte array to its numeric value (Java)?,I have an 8 byte array and I want to convert it to its corresponding numeric value. e.g. -CODE- . I want a method that will perform the above conversion operation.,no
6,https://stackoverflow.com/questions/20734540,"That is, I went from 4.2.5.Final to 4.2.6.Final, to 4.2.7.Final, to 4.2.8.Final and then to 4.3.Final.",NoSuchMethodError in javax.persistence.Table.indexes()[Ljavax/persistence/Index,"I have a Play Framework application and I was using Hibernate 4.2.5.Final (which is retrieved via the Maven dependency manager). I decided to upgrade to Hibernate 4.3.0.Final, recompile my application successfully, and ran it. I got the exception below, and haven't been able to figure out why. I downgraded back to 4.2.5 and this issue did not occur. I then, tried upgrading Hibernate with each Final release after 4.2.5. That is, I went from 4.2.5.Final to 4.2.6.Final, to 4.2.7.Final, to 4.2.8.Final and then to 4.3.Final. The issue does not occur until I upgrade to 4.3.0.Final. Java version information: -CODE- . And exception: -CODE- .",no
7,https://stackoverflow.com/questions/62241,How to convert a Reader to InputStream and a Writer to OutputStream?,How to convert a Reader to InputStream and a Writer to OutputStream?,Is there an easy way to avoid dealing with text encoding problems?,no
8,https://stackoverflow.com/questions/580160,How to convert a Collection to List?,How to convert a Collection to List?,"I am using TreeBidiMap from the Apache Collections library. I want to sort this on the values which are doubles. My method is to retrieve a Collection of the values using: -CODE- . Which naturally works fine. Main Question: I now want to know how I can convert/cast (not sure which is correct) coll into a List so it can be sorted? I then intend to iterate over the sorted List object, which should be in order and get the appropriate keys from the TreeBidiMap (themap) using themap.getKey(iterator.next()) where the iterator will be over the list of doubles.",no
9,https://stackoverflow.com/questions/4185665,Apache Commons IO has a nice convenience method IOUtils.toString() to read an InputStream to a String.,Guava equivalent for IOUtils.toString(InputStream),"Apache Commons IO has a nice convenience method IOUtils.toString() to read an InputStream to a String. Since I am trying to move away from Apache Commons and to Guava: is there an equivalent in Guava? I looked at all classes in the com.google.common.io package and I couldn't find anything nearly as simple. Edit: I understand and appreciate the issues with charsets. It just so happens that I know that all my sources are in ASCII (yes, ASCII, not ANSI etc.), so in this case, encoding is not an issue for me.",no
