,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/54405842,"I had a date variable to measure the differences, and once it became long enough, the first one took 50ms while the other took 12 seconds or something like that.",Why is if (variable1 % variable2 == 0) inefficient?,"I am new to java, and was running some code last night, and this really bothered me. I was building a simple program to display every X outputs in a for loop, and I noticed a MASSIVE decrease in performance, when I used modulus as variable % variable vs variable % 5000 or whatnot. Can someone explain to me why this is and what is causing it? So I can be better... Here is the ""efficient"" code (sorry if I get a bit of syntax wrong I'm not on the computer with the code right now) -CODE- . Here is the ""inefficient code"" -CODE- . Mind you I had a date variable to measure the differences, and once it became long enough, the first one took 50ms while the other took 12 seconds or something like that. You may have to increase the stopNum or decrease the progressCheck if your PC is more efficient than mine or what not. I looked for this question around the web, but I can't find an answer, maybe I'm just not asking it right. EDIT: I did not expect my question to be so popular, I appreciate all the answers. I did perform a benchmark on each half in time taken, and the inefficient code took considerably longer, 1/4 of a second vs 10 seconds give or take. Granted they are using println, but they are both doing the same amount, so I wouldn't imagine that would skew it much, especially since the discrepancy is repeatable. As for the answers, since I am new to Java, I will let votes decide for now which answer is best. I will try to pick one by Wednesday. EDIT2: I am going to make another test tonight, where instead of modulus, it just increments a variable, and when it reaches progressCheck, it will perform one, and then reset that variable to 0. for a 3rd option. EDIT3.5: I used this code, and below I'll show my results.. Thank you ALL for the wonderful help! I also tried comparing the short value of the long to 0, so all my new checks happen ever ""65536"" times making it equal in repeats. -CODE- . Results: [1]fixed = 874 ms (normally around 1000ms, but faster due to it being a power of 2). [2]variable = 8590 ms. [3]final variable = 1944 ms (Was ~1000ms when using 50000). [4]increment = 1904 ms. [5]Short Conversion = 679 ms. Not surprising enough, due to a lack of division, the Short Conversion was 23% faster than the ""fast"" way. This is interesting to note. If you need to show or compare something every 256 times (or about there) you can do this, and use : -CODE- . ONE FINAL INTERESTING NOTE, using modulus on the ""Final declared Variable"" with 65536 (not a pretty number) was half the speed of (slower) than the fixed value. Where before it was benchmarking near the same speed.",no
1,https://stackoverflow.com/questions/54405842,"I also tried comparing the short value of the long to 0, so all my new checks happen ever ""65536"" times making it equal in repeats.",Why is if (variable1 % variable2 == 0) inefficient?,"I am new to java, and was running some code last night, and this really bothered me. I was building a simple program to display every X outputs in a for loop, and I noticed a MASSIVE decrease in performance, when I used modulus as variable % variable vs variable % 5000 or whatnot. Can someone explain to me why this is and what is causing it? So I can be better... Here is the ""efficient"" code (sorry if I get a bit of syntax wrong I'm not on the computer with the code right now) -CODE- . Here is the ""inefficient code"" -CODE- . Mind you I had a date variable to measure the differences, and once it became long enough, the first one took 50ms while the other took 12 seconds or something like that. You may have to increase the stopNum or decrease the progressCheck if your PC is more efficient than mine or what not. I looked for this question around the web, but I can't find an answer, maybe I'm just not asking it right. EDIT: I did not expect my question to be so popular, I appreciate all the answers. I did perform a benchmark on each half in time taken, and the inefficient code took considerably longer, 1/4 of a second vs 10 seconds give or take. Granted they are using println, but they are both doing the same amount, so I wouldn't imagine that would skew it much, especially since the discrepancy is repeatable. As for the answers, since I am new to Java, I will let votes decide for now which answer is best. I will try to pick one by Wednesday. EDIT2: I am going to make another test tonight, where instead of modulus, it just increments a variable, and when it reaches progressCheck, it will perform one, and then reset that variable to 0. for a 3rd option. EDIT3.5: I used this code, and below I'll show my results.. Thank you ALL for the wonderful help! I also tried comparing the short value of the long to 0, so all my new checks happen ever ""65536"" times making it equal in repeats. -CODE- . Results: [1]fixed = 874 ms (normally around 1000ms, but faster due to it being a power of 2). [2]variable = 8590 ms. [3]final variable = 1944 ms (Was ~1000ms when using 50000). [4]increment = 1904 ms. [5]Short Conversion = 679 ms. Not surprising enough, due to a lack of division, the Short Conversion was 23% faster than the ""fast"" way. This is interesting to note. If you need to show or compare something every 256 times (or about there) you can do this, and use : -CODE- . ONE FINAL INTERESTING NOTE, using modulus on the ""Final declared Variable"" with 65536 (not a pretty number) was half the speed of (slower) than the fixed value. Where before it was benchmarking near the same speed.",no
2,https://stackoverflow.com/questions/54405842,ms.,Why is if (variable1 % variable2 == 0) inefficient?,"I am new to java, and was running some code last night, and this really bothered me. I was building a simple program to display every X outputs in a for loop, and I noticed a MASSIVE decrease in performance, when I used modulus as variable % variable vs variable % 5000 or whatnot. Can someone explain to me why this is and what is causing it? So I can be better... Here is the ""efficient"" code (sorry if I get a bit of syntax wrong I'm not on the computer with the code right now) -CODE- . Here is the ""inefficient code"" -CODE- . Mind you I had a date variable to measure the differences, and once it became long enough, the first one took 50ms while the other took 12 seconds or something like that. You may have to increase the stopNum or decrease the progressCheck if your PC is more efficient than mine or what not. I looked for this question around the web, but I can't find an answer, maybe I'm just not asking it right. EDIT: I did not expect my question to be so popular, I appreciate all the answers. I did perform a benchmark on each half in time taken, and the inefficient code took considerably longer, 1/4 of a second vs 10 seconds give or take. Granted they are using println, but they are both doing the same amount, so I wouldn't imagine that would skew it much, especially since the discrepancy is repeatable. As for the answers, since I am new to Java, I will let votes decide for now which answer is best. I will try to pick one by Wednesday. EDIT2: I am going to make another test tonight, where instead of modulus, it just increments a variable, and when it reaches progressCheck, it will perform one, and then reset that variable to 0. for a 3rd option. EDIT3.5: I used this code, and below I'll show my results.. Thank you ALL for the wonderful help! I also tried comparing the short value of the long to 0, so all my new checks happen ever ""65536"" times making it equal in repeats. -CODE- . Results: [1]fixed = 874 ms (normally around 1000ms, but faster due to it being a power of 2). [2]variable = 8590 ms. [3]final variable = 1944 ms (Was ~1000ms when using 50000). [4]increment = 1904 ms. [5]Short Conversion = 679 ms. Not surprising enough, due to a lack of division, the Short Conversion was 23% faster than the ""fast"" way. This is interesting to note. If you need to show or compare something every 256 times (or about there) you can do this, and use : -CODE- . ONE FINAL INTERESTING NOTE, using modulus on the ""Final declared Variable"" with 65536 (not a pretty number) was half the speed of (slower) than the fixed value. Where before it was benchmarking near the same speed.",no
3,https://stackoverflow.com/questions/4164521,Compare if BigDecimal is greater than zero,Compare if BigDecimal is greater than zero,How can I compare if BigDecimal value is greater than zero?,no
4,https://stackoverflow.com/questions/8882295,Which method to use?,How to get the first element of the List or Set?,I'd like to know if I can get the first element of a list or set. Which method to use?,no
5,https://stackoverflow.com/questions/4164521,How can I compare if BigDecimal value is greater than zero?,Compare if BigDecimal is greater than zero,How can I compare if BigDecimal value is greater than zero?,no
6,https://stackoverflow.com/questions/763579,How many threads can a Java VM support?,How many threads can a Java VM support?,How many threads can a Java VM support? Does this vary by vendor? by operating system? other factors?,no
7,https://stackoverflow.com/questions/239147,I am trying to use a java.util.List in a JSP page.,How do you import classes in JSP?,I am a complete JSP beginner. I am trying to use a java.util.List in a JSP page. What do I need to do to use classes other than ones in java.lang?,no
8,https://stackoverflow.com/questions/239147,I am a complete JSP beginner.,How do you import classes in JSP?,I am a complete JSP beginner. I am trying to use a java.util.List in a JSP page. What do I need to do to use classes other than ones in java.lang?,no
9,https://stackoverflow.com/questions/2444359,When would I use a HashMap over a TreeMap?,What is the difference between a HashMap and a TreeMap?,I started learning Java. When would I use a HashMap over a TreeMap?,no
